encoderAngle, potentiometerVoltage
-326.865234375, 0.30078125
-327.3046875, 0.296875
-327.744140625, 0.3046875
-328.271484375, 0.29296875
-328.7109375, 0.3125
-329.150390625, 0.30078125
-329.677734375, 0.30859375
-330.205078125, 0.3046875
-330.908203125, 0.30078125
-331.5234375, 0.31640625
-332.2265625, 0.30078125
-333.017578125, 0.31640625
-333.6328125, 0.3046875
-334.248046875, 0.3125
-334.951171875, 0.3125
-335.56640625, 0.30859375
-336.09375, 0.3203125
-336.62109375, 0.30078125
-337.32421875, 0.3203125
-337.939453125, 0.30859375
-338.5546875, 0.3125
-339.169921875, 0.31640625
-339.697265625, 0.30859375
-340.224609375, 0.32421875
-340.751953125, 0.30859375
-341.19140625, 0.3203125
-341.630859375, 0.31640625
-342.0703125, 0.31640625
-342.509765625, 0.3203125
-342.94921875, 0.3125
-343.388671875, 0.32421875
-343.828125, 0.3125
-344.35546875, 0.3203125
-344.8828125, 0.3203125
-345.41015625, 0.31640625
-346.025390625, 0.32421875
-346.728515625, 0.3125
-347.34375, 0.328125
-348.046875, 0.31640625
-348.662109375, 0.32421875
-349.189453125, 0.32421875
-349.716796875, 0.31640625
-350.15625, 0.33203125
-350.5078125, 0.31640625
-350.859375, 0.33203125
-351.2109375, 0.3203125
-351.5625, 0.3203125
-352.001953125, 0.33203125
-352.44140625, 0.3203125
-352.880859375, 0.3359375
-353.408203125, 0.3203125
-353.935546875, 0.33203125
-354.375, 0.32421875
-354.90234375, 0.328125
-355.341796875, 0.3359375
-355.78125, 0.3203125
-356.396484375, 0.33984375
-357.01171875, 0.32421875
-357.5390625, 0.3359375
-358.154296875, 0.33203125
-358.76953125, 0.32421875
-359.47265625, 0.3359375
-360.263671875, 0.32421875
-361.142578125, 0.33984375
-362.021484375, 0.33203125
-363.076171875, 0.33984375
-364.04296875, 0.33984375
-365.09765625, 0.3359375
-366.240234375, 0.34765625
-367.55859375, 0.33203125
-368.96484375, 0.34375
-370.283203125, 0.33984375
-371.42578125, 0.33984375
-372.48046875, 0.34765625
-373.53515625, 0.3359375
-374.501953125, 0.3515625
-375.380859375, 0.3359375
-376.259765625, 0.3515625
-377.05078125, 0.34765625
-377.666015625, 0.34375
-378.28125, 0.35546875
-378.720703125, 0.34375
